weight (g),raw reading
-48,-351.3867293475919
79,624.2875577452515
79,723.4947922408252
48,320.8074488122964
-48,-282.1898925995395
200,1581.66448191791
-119,-914.9613173223181
119,864.8432430070956
119,863.5183378099026
-200,-1572.8863709594211
48,336.21251972377365
31,275.4514422018033
-79,-511.25434167430444
-79,-557.874574336132
-48,-390.6284152831166
0,80.97797589998868
0,45.87856002999669
-119,-829.7798589313245
-200,-1506.2638082702467
0,62.77179499912881
-200,-1465.5710496850124
200,1513.5721456259434
-119,-882.7486751083158
200,1525.1153008167403
0,28.937350649858352
48,427.5411737163581
-31,-210.39635754523894
-119,-868.3695706314359
48,410.4137094053742
31,273.4595584832589
31,317.2417260822796
31,269.9122771557443
-31,-243.43086788358144
200,1491.447300961286
79,577.2995345685285
-200,-1441.8156610707963
-31,-136.54319938467398
0,-46.69935756359827
-48,-285.85605946110326
31,236.48698275056498
119,920.3368381790378
-79,-650.2481728359768
200,1428.2129546805445
-31,-209.6863636882197
119,949.2990960830749
79,669.3841745676775
119,821.9079808123244
-119,-936.2196190152958
-200,-1561.6988771632389
-48,-376.28855993600945
79,672.826327340928
-79,-568.8151144740999
-31,-217.11402413935585
48,262.29595563968616
-79,-670.886666697295
